"No.","Latitude","Longitude","Elevation (m)","Timestamp UTC (ms)"
"1","41.585051","-93.606746","210.79998779296875","1680136125524"
"2","41.585043","-93.606743","210.79998779296875","1680136127771"
"3","41.585029","-93.606733","210.79998779296875","1680136130764"
"4","41.585030","-93.606721","210.79998779296875","1680136132765"
"5","41.585030","-93.606697","210.79998779296875","1680136134768"
"6","41.585029","-93.606694","210.79998779296875","1680136136768"
"7","41.585038","-93.606700","210.79998779296875","1680136138762"
"8","41.585066","-93.606708","210.79998779296875","1680136140763"

"1","41.578590","-93.613420","213.89999389648438","1680216614022"
"2","41.578587","-93.613496","213.89999389648438","1680216615636"
"3","41.578585","-93.613586","213.89999389648438","1680216617847"
"4","41.578583","-93.613671","213.89999389648438","1680216619535"
"5","41.578578","-93.613788","213.89999389648438","1680216621785"
"6","41.578571","-93.613911","213.89999389648438","1680216624036"
"7","41.578561","-93.614027","213.89999389648438","1680216625724"
"8","41.578552","-93.614131","213.89999389648438","1680216627411"
"9","41.578540","-93.614219","213.89999389648438","1680216629044"
"10","41.578523","-93.614315","213.89999389648438","1680216630636"
"11","41.578503","-93.614409","213.89999389648438","1680216632364"
"12","41.578491","-93.614478","213.89999389648438","1680216634072"
"13","41.578474","-93.614565","213.89999389648438","1680216635761"
"14","41.578424","-93.614764","213.89999389648438","1680216638220"
"15","41.578391","-93.614909","213.89999389648438","1680216640220"
"16","41.578357","-93.615046","215.54437403178304","1680216642220"
"17","41.578321","-93.615195","213.89999389648438","1680216644219"
"18","41.578278","-93.615352","213.89999389648438","1680216646219"
"19","41.578231","-93.615507","213.89999389648438","1680216648219"
"20","41.578185","-93.615654","213.89999389648438","1680216650219"
"21","41.578140","-93.615805","212.08395485764845","1680216652219"
"22","41.578090","-93.615956","211.67143738838274","1680216654219"
"23","41.578038","-93.616096","212.0","1680216656220"
"24","41.577980","-93.616231","213.79998779296875","1680216658220"
"25","41.577924","-93.616370","212.11670358581415","1680216660220"
"26","41.577873","-93.616513","213.79998779296875","1680216662219"
"27","41.577824","-93.616661","213.89999389648438","1680216664220"
"28","41.577770","-93.616811","213.89999389648438","1680216666220"
"29","41.577715","-93.616978","213.89999389648438","1680216668220"
"30","41.577658","-93.617153","211.63446497463048","1680216670220"
"31","41.577582","-93.617319","212.0","1680216672220"
"32","41.577489","-93.617471","212.0","1680216674219"
"33","41.577398","-93.617617","211.50664730436978","1680216676220"
"34","41.577290","-93.617752","211.37806110374947","1680216678219"
"35","41.577183","-93.617855","211.30200746824636","1680216680219"
"36","41.577085","-93.617952","211.52354870360506","1680216682220"
"37","41.576993","-93.618047","213.89999389648438","1680216684220"
"38","41.576900","-93.618142","213.89999389648438","1680216686220"
"39","41.576803","-93.618230","213.89999389648438","1680216688220"
"40","41.576708","-93.618321","213.89999389648438","1680216690220"
"41","41.576629","-93.618420","213.89999389648438","1680216692220"
"42","41.576557","-93.618515","213.89999389648438","1680216694219"
"43","41.576484","-93.618593","213.89999389648438","1680216696220"
"44","41.576414","-93.618669","213.89999389648438","1680216698220"
"45","41.576331","-93.618762","211.69995907519422","1680216700220"
"46","41.576241","-93.618864","211.84151257445984","1680216702220"
"47","41.576145","-93.618962","213.89999389648438","1680216704220"
"48","41.576047","-93.619055","213.89999389648438","1680216706220"
"49","41.575951","-93.619146","213.89999389648438","1680216708220"
"50","41.575859","-93.619235","213.89999389648438","1680216710219"
"51","41.575767","-93.619322","213.89999389648438","1680216712219"
"52","41.575677","-93.619411","213.89999389648438","1680216714219"
"53","41.575586","-93.619497","213.89999389648438","1680216716219"
"54","41.575497","-93.619583","213.89999389648438","1680216718220"
"55","41.575407","-93.619673","213.89999389648438","1680216720219"
"56","41.575315","-93.619764","213.89999389648438","1680216722220"
"57","41.575230","-93.619853","213.89999389648438","1680216724220"
"58","41.575141","-93.619951","213.89999389648438","1680216726220"
"59","41.575041","-93.620056","213.89999389648438","1680216728219"
"60","41.574948","-93.620164","213.89999389648438","1680216730218"
"61","41.574856","-93.620266","211.87426036339895","1680216732220"
"62","41.574762","-93.620370","213.79998779296875","1680216734220"
"63","41.574665","-93.620468","213.89999389648438","1680216736220"
"64","41.574566","-93.620565","213.89999389648438","1680216738220"
"65","41.574469","-93.620665","213.89999389648438","1680216740219"
"66","41.574375","-93.620756","213.89999389648438","1680216742220"
"67","41.574278","-93.620846","213.89999389648438","1680216744220"
"68","41.574182","-93.620942","213.89999389648438","1680216746219"
"69","41.574089","-93.621044","213.89999389648438","1680216748219"
"70","41.573994","-93.621150","213.89999389648438","1680216750220"
"71","41.573886","-93.621246","213.89999389648438","1680216752219"
"72","41.573760","-93.621307","213.89999389648438","1680216754220"
